Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
GDP (current US$),"NY.GDP.MKTP.CD","Singapore","SGP","36152027893.1446","95833932714.6172","192225881687.752","192408387762.118","236421782178.218","275599459373.509","289162118908.538","302510668904.339","308142766948.149","296840704102.415","296975678610.206",".."
GDP (current US$),"NY.GDP.MKTP.CD","Sint Maarten (Dutch part)","SXM","..","..","..","..","..","..","..","..","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Slovak Republic","SVK","12694544692.7374","29114875621.8905","100324627215.468","88945625173.6593","89501012915.7314","98181259740.0919","93413992955.8972","98478349315.3252","100948236941.182","87501423882.4686","89768598023.3903",".."
GDP (current US$),"NY.GDP.MKTP.CD","Slovenia","SVN","..","20342201356.0052","55589849128.4605","50244793831.6199","48013606745.4803","51290792018.1074","46352802765.5763","48116256926.0807","49904928335.3069","43072415017.4321","44708598648.8562",".."
GDP (current US$),"NY.GDP.MKTP.CD","Solomon Islands","SLB","302515026.890225","435103853.485036","608293860.271816","597765363.128492","671585343.170686","886498370.696086","1025125081.57494","1059695156.18795","1156563122.85602","1129164718.81436","1202125000",".."
GDP (current US$),"NY.GDP.MKTP.CD","Somalia","SOM","..","..","..","..","..","..","..","5352000000","5647000000","5925000000","6217000000",".."
GDP (current US$),"NY.GDP.MKTP.CD","South Africa","ZAF","115553279480.54","136361854808.496","287099991516.9","297216730668.942","375298134440.469","416878162440.887","396332598448.215","366810014300.222","351119102947.143","317610719411.483","295456189492.005",".."
GDP (current US$),"NY.GDP.MKTP.CD","South Sudan","SSD","..","..","15550136278.8696","12231362022.6859","15727363443.0995","17826697892.2717","10368813559.322","13257635694.9153","13282084033.8983","9015221096.24474","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Spain","ESP","535101248775.71","595402616546.895","1635015380108.39","1499099749930.54","1431616749640.29","1488067258325.2","1336018949805.58","1361854206549.39","1376910811040.88","1197789902774.43","1237255019653.86",".."
GDP (current US$),"NY.GDP.MKTP.CD","Sri Lanka","LKA","8032551173.24014","16330814179.9766","40713812309.7316","42066217871.5349","56725745039.336","65292741296.5382","68434399083.41","74317806754.5267","79356456990.2891","80611989527.2158","81321876307.2556",".."
